Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,5,80,2.1729,3.61381,3.17741,3.17723,-0.217234,2050,4.49341
Wewnetrzna,5,81,1.59918,3.11661,3.17654,3.1781,-0.217234,2050,4.49341
Wewnetrzna,5,82,1.19135,1.9814,3.1769,3.17774,-0.217234,2070,4.49341
Wewnetrzna,5,83,1.22549,1.2449,3.17741,3.17723,-0.217234,2070,4.49341
Wewnetrzna,5,84,1.13536,2.47068,3.17902,3.17562,-0.217234,1900,4.49341
Wewnetrzna,5,85,1.24372,4.74904,3.17742,3.17722,-0.217234,1675,4.49341
Wewnetrzna,5,86,3.45226,1.39414,3.17759,3.17704,-0.217234,1525,4.49341
Wewnetrzna,5,87,1.26591,3.81194,3.17746,3.17718,-0.217234,1515,4.49341
Wewnetrzna,5,88,4.54611,1.7134,3.17735,3.17729,-0.217234,2085,4.49341
Wewnetrzna,5,89,1.80192,1.36168,3.1781,3.17654,-0.217234,2115,4.49341
Wewnetrzna,5,90,3.97449,2.47576,3.17744,3.1772,-0.217234,2075,4.49341
Wewnetrzna,5,91,1.55507,4.49357,3.17699,3.17762,-0.217234,1360,4.49339
Wewnetrzna,5,92,3.35593,1.77956,3.1772,3.17743,-0.217234,1490,4.49341
Wewnetrzna,5,93,4.20587,2.65535,3.17691,3.17773,-0.217234,2100,4.49341
Wewnetrzna,5,94,2.40539,3.02873,3.17628,3.17836,-0.217234,1925,4.49341
Wewnetrzna,5,95,1.49997,1.10863,3.17754,3.1771,-0.217234,1505,4.49341
Wewnetrzna,5,96,4.48606,1.04708,3.17809,3.17655,-0.217234,2130,4.49341
Wewnetrzna,5,97,1.82103,1.28898,3.17484,3.1798,-0.217234,1880,4.49341
Wewnetrzna,5,98,1.40775,1.19943,3.17661,3.17803,-0.217234,2340,4.49341
Wewnetrzna,5,99,2.67419,1.12852,3.1769,3.17775,-0.217234,2125,4.49341
Wewnetrzna,5,100,3.95491,2.26657,3.1769,3.17774,-0.217234,2080,4.49341
